Sales_Order_Document,Sales_Organization,Article,Size_Grid_Value,Requested_Delivery_Date,Sales_Order_Qty
33356768375401,417600,F503035,540,16-08-2021,1
33356768375601,417600,F503035,560,16-08-2021,1
33356768375801,417600,F503035,580,16-08-2021,2
33356768376001,417600,F503035,600,16-08-2021,1
33356768376201,417600,F503035,620,16-08-2021,1
33356768376401,417600,F503035,640,16-08-2021,2
33356768376601,417600,F503035,660,16-08-2021,1
33356768376801,417600,F503035,680,16-08-2021,1
33356768495401,417600,F503035,540,16-08-2021,1
33356768495601,417600,F503035,560,16-08-2021,1
33356768495801,417600,F503035,580,16-08-2021,2
33356768496001,417600,F503035,600,16-08-2021,1
33356768496201,417600,F503035,620,16-08-2021,1
33356768496401,417600,F503035,640,16-08-2021,2
33356768496601,417600,F503035,660,16-08-2021,1
33356768496801,417600,F503035,680,16-08-2021,1
33356768525401,417600,F503035,540,16-08-2021,1
33356768525601,417600,F503035,560,16-08-2021,1
33356768525801,417600,F503035,580,16-08-2021,2
33356768526001,417600,F503035,600,16-08-2021,1
33356768526201,417600,F503035,620,16-08-2021,1
33356768526401,417600,F503035,640,16-08-2021,2
33356768526601,417600,F503035,660,16-08-2021,1
33356768526801,417600,F503035,680,16-08-2021,1
33356768555401,417600,F503035,540,16-08-2021,1
33356768555601,417600,F503035,560,16-08-2021,1
33356768555801,417600,F503035,580,16-08-2021,2
33356768556001,417600,F503035,600,16-08-2021,1
33356768556201,417600,F503035,620,16-08-2021,1
33356768556401,417600,F503035,640,16-08-2021,2
33356768556601,417600,F503035,660,16-08-2021,1
33356768556801,417600,F503035,680,16-08-2021,1
33356768585401,417600,F503035,540,16-08-2021,1
33356768585601,417600,F503035,560,16-08-2021,1
33356768585801,417600,F503035,580,16-08-2021,2
33356768586001,417600,F503035,600,16-08-2021,1
33356768586201,417600,F503035,620,16-08-2021,1
33356768586401,417600,F503035,640,16-08-2021,2
33356768586601,417600,F503035,660,16-08-2021,1
33356768586801,417600,F503035,680,16-08-2021,1
33356768615401,417600,F503035,540,16-08-2021,1
33356768615601,417600,F503035,560,16-08-2021,1
33356768615801,417600,F503035,580,16-08-2021,2
33356768616001,417600,F503035,600,16-08-2021,1
33356768616201,417600,F503035,620,16-08-2021,1
33356768616401,417600,F503035,640,16-08-2021,2
33356768616601,417600,F503035,660,16-08-2021,1
33356768616801,417600,F503035,680,16-08-2021,1
33356768645401,417600,F503035,540,16-08-2021,1
33356768645601,417600,F503035,560,16-08-2021,1
33356768645801,417600,F503035,580,16-08-2021,2
33356768646001,417600,F503035,600,16-08-2021,1
33356768646201,417600,F503035,620,16-08-2021,1
33356768646401,417600,F503035,640,16-08-2021,2
33356768646601,417600,F503035,660,16-08-2021,1
33356768646801,417600,F503035,680,16-08-2021,1
33356768675401,417600,F503035,540,16-08-2021,1
33356768675601,417600,F503035,560,16-08-2021,1
33356768675801,417600,F503035,580,16-08-2021,2
33356768676001,417600,F503035,600,16-08-2021,1
33356768676201,417600,F503035,620,16-08-2021,1
33356768676401,417600,F503035,640,16-08-2021,2
33356768676601,417600,F503035,660,16-08-2021,1
33356768676801,417600,F503035,680,16-08-2021,1
33356768705401,417600,F503035,540,16-08-2021,1
33356768705601,417600,F503035,560,16-08-2021,1
33356768705801,417600,F503035,580,16-08-2021,2
33356768706001,417600,F503035,600,16-08-2021,1
33356768706201,417600,F503035,620,16-08-2021,1
33356768706401,417600,F503035,640,16-08-2021,2
33356768706601,417600,F503035,660,16-08-2021,1
33356768706801,417600,F503035,680,16-08-2021,1
33356768735401,417600,F503035,540,16-08-2021,1
33356768735601,417600,F503035,560,16-08-2021,1
33356768735801,417600,F503035,580,16-08-2021,2
33356768736001,417600,F503035,600,16-08-2021,1
33356768736201,417600,F503035,620,16-08-2021,1
33356768736401,417600,F503035,640,16-08-2021,2
33356768736601,417600,F503035,660,16-08-2021,1
33356768736801,417600,F503035,680,16-08-2021,1
33356768765401,417600,F503035,540,16-08-2021,1
33356768765601,417600,F503035,560,16-08-2021,1
33356768765801,417600,F503035,580,16-08-2021,2
33356768766001,417600,F503035,600,16-08-2021,1
33356768766201,417600,F503035,620,16-08-2021,1
33356768766401,417600,F503035,640,16-08-2021,2
33356768766601,417600,F503035,660,16-08-2021,1
33356768766801,417600,F503035,680,16-08-2021,1
33356768795401,417600,F503035,540,16-08-2021,1
33356768795601,417600,F503035,560,16-08-2021,1
33356768795801,417600,F503035,580,16-08-2021,2
33356768796001,417600,F503035,600,16-08-2021,1
33356768796201,417600,F503035,620,16-08-2021,1
33356768796401,417600,F503035,640,16-08-2021,2
33356768796601,417600,F503035,660,16-08-2021,1
33356768796801,417600,F503035,680,16-08-2021,1
33356768825401,417600,F503035,540,16-08-2021,1
33356768825601,417600,F503035,560,16-08-2021,1
33356768825801,417600,F503035,580,16-08-2021,2
33356768826001,417600,F503035,600,16-08-2021,1
33356768826201,417600,F503035,620,16-08-2021,1
33356768826401,417600,F503035,640,16-08-2021,2
33356768826601,417600,F503035,660,16-08-2021,1
33356768826801,417600,F503035,680,16-08-2021,1
33356768855401,417600,F503035,540,16-08-2021,1
33356768855601,417600,F503035,560,16-08-2021,1
33356768855801,417600,F503035,580,16-08-2021,2
33356768856001,417600,F503035,600,16-08-2021,1
33356768856201,417600,F503035,620,16-08-2021,1
33356768856401,417600,F503035,640,16-08-2021,2
33356768856601,417600,F503035,660,16-08-2021,1
33356768856801,417600,F503035,680,16-08-2021,1
33356768885401,417600,F503035,540,16-08-2021,1
33356768885601,417600,F503035,560,16-08-2021,1
33356768885801,417600,F503035,580,16-08-2021,2
33356768886001,417600,F503035,600,16-08-2021,1
33356768886201,417600,F503035,620,16-08-2021,1
33356768886401,417600,F503035,640,16-08-2021,2
33356768886601,417600,F503035,660,16-08-2021,1
33356768886801,417600,F503035,680,16-08-2021,1
33356768915401,417600,F503035,540,16-08-2021,1
33356768915601,417600,F503035,560,16-08-2021,1
33356768915801,417600,F503035,580,16-08-2021,2
33356768916001,417600,F503035,600,16-08-2021,1
33356768916201,417600,F503035,620,16-08-2021,1
33356768916401,417600,F503035,640,16-08-2021,2
33356768916601,417600,F503035,660,16-08-2021,1
33356768916801,417600,F503035,680,16-08-2021,1
33356768945401,417600,F503035,540,16-08-2021,1
33356768945601,417600,F503035,560,16-08-2021,1
33356768945801,417600,F503035,580,16-08-2021,2
33356768946001,417600,F503035,600,16-08-2021,1
33356768946201,417600,F503035,620,16-08-2021,1
33356768946401,417600,F503035,640,16-08-2021,2
33356768946601,417600,F503035,660,16-08-2021,1
33356768946801,417600,F503035,680,16-08-2021,1
33356768975401,417600,F503035,540,16-08-2021,1
33356768975601,417600,F503035,560,16-08-2021,1
33356768975801,417600,F503035,580,16-08-2021,2
33356768976001,417600,F503035,600,16-08-2021,1
33356768976201,417600,F503035,620,16-08-2021,1
33356768976401,417600,F503035,640,16-08-2021,2
33356768976601,417600,F503035,660,16-08-2021,1
33356768976801,417600,F503035,680,16-08-2021,1
33356769005401,417600,F503035,540,16-08-2021,1
33356769005601,417600,F503035,560,16-08-2021,1
33356769005801,417600,F503035,580,16-08-2021,2
33356769006001,417600,F503035,600,16-08-2021,1
33356769006201,417600,F503035,620,16-08-2021,1
33356769006401,417600,F503035,640,16-08-2021,2
33356769006601,417600,F503035,660,16-08-2021,1
33356769006801,417600,F503035,680,16-08-2021,1
33356769035401,417600,F503035,540,16-08-2021,1
33356769035601,417600,F503035,560,16-08-2021,1
33356769035801,417600,F503035,580,16-08-2021,2
33356769036001,417600,F503035,600,16-08-2021,1
33356769036201,417600,F503035,620,16-08-2021,1
33356769036401,417600,F503035,640,16-08-2021,2
33356769036601,417600,F503035,660,16-08-2021,1
33356769036801,417600,F503035,680,16-08-2021,1
33356769065401,417600,F503035,540,16-08-2021,1
33356769065601,417600,F503035,560,16-08-2021,1
33356769065801,417600,F503035,580,16-08-2021,2
33356769066001,417600,F503035,600,16-08-2021,1
33356769066201,417600,F503035,620,16-08-2021,1
33356769066401,417600,F503035,640,16-08-2021,2
33356769066601,417600,F503035,660,16-08-2021,1
33356769066801,417600,F503035,680,16-08-2021,1
33356769095401,417600,F503035,540,16-08-2021,1
33356769095601,417600,F503035,560,16-08-2021,1
33356769095801,417600,F503035,580,16-08-2021,2
33356769096001,417600,F503035,600,16-08-2021,1
33356769096201,417600,F503035,620,16-08-2021,1
33356769096401,417600,F503035,640,16-08-2021,2
33356769096601,417600,F503035,660,16-08-2021,1
33356769096801,417600,F503035,680,16-08-2021,1
33356769125401,417600,F503035,540,16-08-2021,1
33356769125601,417600,F503035,560,16-08-2021,1
33356769125801,417600,F503035,580,16-08-2021,2
33356769126001,417600,F503035,600,16-08-2021,1
33356769126201,417600,F503035,620,16-08-2021,1
33356769126401,417600,F503035,640,16-08-2021,2
33356769126601,417600,F503035,660,16-08-2021,1
33356769126801,417600,F503035,680,16-08-2021,1
33356769155401,417600,F503035,540,16-08-2021,1
33356769155601,417600,F503035,560,16-08-2021,1
33356769155801,417600,F503035,580,16-08-2021,2
33356769156001,417600,F503035,600,16-08-2021,1
33356769156201,417600,F503035,620,16-08-2021,1
33356769156401,417600,F503035,640,16-08-2021,2
33356769156601,417600,F503035,660,16-08-2021,1
33356769156801,417600,F503035,680,16-08-2021,1
33356769185401,417600,F503035,540,16-08-2021,1
33356769185601,417600,F503035,560,16-08-2021,1
33356769185801,417600,F503035,580,16-08-2021,2
33356769186001,417600,F503035,600,16-08-2021,1
33356769186201,417600,F503035,620,16-08-2021,1
33356769186401,417600,F503035,640,16-08-2021,2
33356769186601,417600,F503035,660,16-08-2021,1
33356769186801,417600,F503035,680,16-08-2021,1
33356769215401,417600,F503035,540,16-08-2021,1
33356769215601,417600,F503035,560,16-08-2021,1
33356769215801,417600,F503035,580,16-08-2021,2
33356769216001,417600,F503035,600,16-08-2021,1
33356769216201,417600,F503035,620,16-08-2021,1
33356769216401,417600,F503035,640,16-08-2021,2
33356769216601,417600,F503035,660,16-08-2021,1
33356769216801,417600,F503035,680,16-08-2021,1
33356769245401,417600,F503035,540,16-08-2021,1
33356769245601,417600,F503035,560,16-08-2021,1
33356769245801,417600,F503035,580,16-08-2021,2
33356769246001,417600,F503035,600,16-08-2021,1
33356769246201,417600,F503035,620,16-08-2021,1
33356769246401,417600,F503035,640,16-08-2021,2
33356769246601,417600,F503035,660,16-08-2021,1
33356769246801,417600,F503035,680,16-08-2021,1
33356769275401,417600,F503035,540,16-08-2021,1
33356769275601,417600,F503035,560,16-08-2021,1
33356769275801,417600,F503035,580,16-08-2021,2
33356769276001,417600,F503035,600,16-08-2021,1
33356769276201,417600,F503035,620,16-08-2021,1
33356769276401,417600,F503035,640,16-08-2021,2
33356769276601,417600,F503035,660,16-08-2021,1
33356769276801,417600,F503035,680,16-08-2021,1
33356769305401,417600,F503035,540,16-08-2021,1
33356769305601,417600,F503035,560,16-08-2021,1
33356769305801,417600,F503035,580,16-08-2021,2
33356769306001,417600,F503035,600,16-08-2021,1
33356769306201,417600,F503035,620,16-08-2021,1
33356769306401,417600,F503035,640,16-08-2021,2
33356769306601,417600,F503035,660,16-08-2021,1
33356769306801,417600,F503035,680,16-08-2021,1
33356769335401,417600,F503035,540,16-08-2021,1
33356769335601,417600,F503035,560,16-08-2021,1
33356769335801,417600,F503035,580,16-08-2021,2
33356769336001,417600,F503035,600,16-08-2021,1
33356769336201,417600,F503035,620,16-08-2021,1
33356769336401,417600,F503035,640,16-08-2021,2
33356769336601,417600,F503035,660,16-08-2021,1
33356769336801,417600,F503035,680,16-08-2021,1
33356769365401,417600,F503035,540,16-08-2021,1
33356769365601,417600,F503035,560,16-08-2021,1
33356769365801,417600,F503035,580,16-08-2021,2
33356769366001,417600,F503035,600,16-08-2021,1
33356769366201,417600,F503035,620,16-08-2021,1
33356769366401,417600,F503035,640,16-08-2021,2
33356769366601,417600,F503035,660,16-08-2021,1
33356769366801,417600,F503035,680,16-08-2021,1
33356769425401,417600,F503035,540,16-08-2021,1
33356769425601,417600,F503035,560,16-08-2021,1
33356769425801,417600,F503035,580,16-08-2021,2
33356769426001,417600,F503035,600,16-08-2021,1
33356769426201,417600,F503035,620,16-08-2021,1
33356769426401,417600,F503035,640,16-08-2021,2
33356769426601,417600,F503035,660,16-08-2021,1
33356769426801,417600,F503035,680,16-08-2021,1
33356769455401,417600,F503035,540,16-08-2021,1
33356769455601,417600,F503035,560,16-08-2021,1
33356769455801,417600,F503035,580,16-08-2021,2
33356769456001,417600,F503035,600,16-08-2021,1
33356769456201,417600,F503035,620,16-08-2021,1
33356769456401,417600,F503035,640,16-08-2021,2
33356769456601,417600,F503035,660,16-08-2021,1
33356769456801,417600,F503035,680,16-08-2021,1
33356769515401,417600,F503035,540,16-08-2021,1
33356769515601,417600,F503035,560,16-08-2021,1
33356769515801,417600,F503035,580,16-08-2021,2
33356769516001,417600,F503035,600,16-08-2021,1
33356769516201,417600,F503035,620,16-08-2021,1
33356769516401,417600,F503035,640,16-08-2021,2
33356769516601,417600,F503035,660,16-08-2021,1
33356769516801,417600,F503035,680,16-08-2021,1
33356769545401,417600,F503035,540,16-08-2021,1
33356769545601,417600,F503035,560,16-08-2021,1
33356769545801,417600,F503035,580,16-08-2021,2
33356769546001,417600,F503035,600,16-08-2021,1
33356769546201,417600,F503035,620,16-08-2021,1
33356769546401,417600,F503035,640,16-08-2021,2
33356769546601,417600,F503035,660,16-08-2021,1
33356769546801,417600,F503035,680,16-08-2021,1
33356769575401,417600,F503035,540,16-08-2021,1
33356769575601,417600,F503035,560,16-08-2021,1
33356769575801,417600,F503035,580,16-08-2021,2
33356769576001,417600,F503035,600,16-08-2021,1
33356769576201,417600,F503035,620,16-08-2021,1
33356769576401,417600,F503035,640,16-08-2021,2
33356769576601,417600,F503035,660,16-08-2021,1
33356769576801,417600,F503035,680,16-08-2021,1
33356769605401,417600,F503035,540,16-08-2021,1
33356769605601,417600,F503035,560,16-08-2021,1
33356769605801,417600,F503035,580,16-08-2021,2
33356769606001,417600,F503035,600,16-08-2021,1
33356769606201,417600,F503035,620,16-08-2021,1
33356769606401,417600,F503035,640,16-08-2021,2
33356769606601,417600,F503035,660,16-08-2021,1
33356769606801,417600,F503035,680,16-08-2021,1
33356769635401,417600,F503035,540,16-08-2021,1
33356769635601,417600,F503035,560,16-08-2021,1
33356769635801,417600,F503035,580,16-08-2021,2
33356769636001,417600,F503035,600,16-08-2021,1
33356769636201,417600,F503035,620,16-08-2021,1
33356769636401,417600,F503035,640,16-08-2021,2
33356769636601,417600,F503035,660,16-08-2021,1
33356769636801,417600,F503035,680,16-08-2021,1
33356769665401,417600,F503035,540,16-08-2021,1
33356769665601,417600,F503035,560,16-08-2021,1
33356769665801,417600,F503035,580,16-08-2021,2
33356769666001,417600,F503035,600,16-08-2021,1
33356769666201,417600,F503035,620,16-08-2021,1
33356769666401,417600,F503035,640,16-08-2021,2
33356769666601,417600,F503035,660,16-08-2021,1
33356769666801,417600,F503035,680,16-08-2021,1
33356769695401,417600,F503035,540,16-08-2021,1
33356769695601,417600,F503035,560,16-08-2021,1
33356769695801,417600,F503035,580,16-08-2021,2
33356769696001,417600,F503035,600,16-08-2021,1
33356769696201,417600,F503035,620,16-08-2021,1
33356769696401,417600,F503035,640,16-08-2021,2
33356769696601,417600,F503035,660,16-08-2021,1
33356769696801,417600,F503035,680,16-08-2021,1
33356769755401,417600,F503035,540,16-08-2021,1
33356769755601,417600,F503035,560,16-08-2021,1
33356769755801,417600,F503035,580,16-08-2021,2
33356769756001,417600,F503035,600,16-08-2021,1
33356769756201,417600,F503035,620,16-08-2021,1
33356769756401,417600,F503035,640,16-08-2021,2
33356769756601,417600,F503035,660,16-08-2021,1
33356769756801,417600,F503035,680,16-08-2021,1
33356780074001,417600,G85D5D1,400,30-06-2021,1
33356780074301,417600,G85D5D1,430,30-06-2021,1
33356780074601,417600,G85D5D1,460,30-06-2021,1
33356805365601,417600,F503035,560,16-07-2021,2
33356805365801,417600,F503035,580,16-07-2021,2
33356805366001,417600,F503035,600,16-07-2021,2
33356805366201,417600,F503035,620,16-07-2021,2
33356805366401,417600,F503035,640,16-07-2021,2
33356805366601,417600,F503035,660,16-07-2021,2
33356805366801,417600,F503035,680,16-07-2021,2
33356805367001,417600,F503035,700,16-07-2021,2
33356805367201,417600,F503035,720,16-07-2021,2
33356871605401,417600,F503035,540,02-08-2021,10
33356871605601,417600,F503035,560,02-08-2021,20
33356871605801,417600,F503035,580,02-08-2021,30
33356871606001,417600,F503035,600,02-08-2021,30
33356871606201,417600,F503035,620,02-08-2021,70
33356871606401,417600,F503035,640,02-08-2021,70
33356871606601,417600,F503035,660,02-08-2021,60
33356871606801,417600,F503035,680,02-08-2021,20
33356871607001,417600,F503035,700,02-08-2021,20
33356871607201,417600,F503035,720,02-08-2021,10
33356871635401,417600,F503035,540,16-08-2021,10
33356871635601,417600,F503035,560,16-08-2021,10
33356871635801,417600,F503035,580,16-08-2021,10
33356871636001,417600,F503035,600,16-08-2021,20
33356871636201,417600,F503035,620,16-08-2021,40
33356871636401,417600,F503035,640,16-08-2021,40
33356871636601,417600,F503035,660,16-08-2021,20
33356871636801,417600,F503035,680,16-08-2021,10
33356871637001,417600,F503035,700,16-08-2021,10
33356871637201,417600,F503035,720,16-08-2021,10
33356892005401,417600,F503035,540,01-06-2021,50
33356892005601,417600,F503035,560,01-06-2021,40
33356892005801,417600,F503035,580,01-06-2021,40
33356892006001,417600,F503035,600,01-06-2021,60
33356892006201,417600,F503035,620,01-06-2021,60
33356892006401,417600,F503035,640,01-06-2021,70
33356892006601,417600,F503035,660,01-06-2021,80
33356892006801,417600,F503035,680,01-06-2021,60
33356892007001,417600,F503035,700,01-06-2021,30
33356892007201,417600,F503035,720,01-06-2021,10
33356897675401,417600,F503035,540,01-06-2021,20
33356897675601,417600,F503035,560,01-06-2021,30
33356897675801,417600,F503035,580,01-06-2021,40
33356897676001,417600,F503035,600,01-06-2021,50
33356897676201,417600,F503035,620,01-06-2021,120
33356897676401,417600,F503035,640,01-06-2021,140
33356897676601,417600,F503035,660,01-06-2021,130
33356897676801,417600,F503035,680,01-06-2021,80
33356897677001,417600,F503035,700,01-06-2021,30
33356897677201,417600,F503035,720,01-06-2021,20
33356897765401,417600,F503035,540,01-06-2021,10
33356897765601,417600,F503035,560,01-06-2021,20
33356897765801,417600,F503035,580,01-06-2021,20
33356897766001,417600,F503035,600,01-06-2021,20
33356897766201,417600,F503035,620,01-06-2021,60
33356897766401,417600,F503035,640,01-06-2021,60
33356897766601,417600,F503035,660,01-06-2021,50
33356897766801,417600,F503035,680,01-06-2021,30
33356897767001,417600,F503035,700,01-06-2021,20
33356897767201,417600,F503035,720,01-06-2021,10
33356902415401,417600,F503035,540,01-06-2021,5
33356902415601,417600,F503035,560,01-06-2021,10
33356902415801,417600,F503035,580,01-06-2021,20
33356902416001,417600,F503035,600,01-06-2021,40
33356902416201,417600,F503035,620,01-06-2021,55
33356902416401,417600,F503035,640,01-06-2021,60
33356902416601,417600,F503035,660,01-06-2021,70
33356902416801,417600,F503035,680,01-06-2021,65
33356902417001,417600,F503035,700,01-06-2021,20
33356902417201,417600,F503035,720,01-06-2021,15
33356914745601,417600,F503035,560,07-06-2021,2
33356914745801,417600,F503035,580,07-06-2021,2
33356914746001,417600,F503035,600,07-06-2021,3
33356914746201,417600,F503035,620,07-06-2021,3
33356914746401,417600,F503035,640,07-06-2021,3
33356914746601,417600,F503035,660,07-06-2021,3
33356914746801,417600,F503035,680,07-06-2021,3
33356914747001,417600,F503035,700,07-06-2021,2
33356914747201,417600,F503035,720,07-06-2021,2
33357056946001,417600,F503035,600,15-07-2021,6
33357056946201,417600,F503035,620,15-07-2021,12
33357056946401,417600,F503035,640,15-07-2021,16
33357056946601,417600,F503035,660,15-07-2021,12
33357056946801,417600,F503035,680,15-07-2021,8
33357056947001,417600,F503035,700,15-07-2021,6
33357102576201,417600,F503035,620,01-07-2021,100
33357102576401,417600,F503035,640,01-07-2021,200
33357102576601,417600,F503035,660,01-07-2021,200
33357102576801,417600,F503035,680,01-07-2021,100
33357133566201,417600,F503035,620,28-06-2021,100
33357133566401,417600,F503035,640,28-06-2021,100
33357133566601,417600,F503035,660,28-06-2021,100
33357133566801,417600,F503035,680,28-06-2021,100
33357133567001,417600,F503035,700,28-06-2021,70
33357144065401,417600,F503035,540,07-06-2021,5
33357144065601,417600,F503035,560,07-06-2021,5
33357144065801,417600,F503035,580,07-06-2021,10
33357144066001,417600,F503035,600,07-06-2021,10
33357144066201,417600,F503035,620,07-06-2021,20
33357144066401,417600,F503035,640,07-06-2021,30
33357144066601,417600,F503035,660,07-06-2021,30
33357144066801,417600,F503035,680,07-06-2021,10
33357144067001,417600,F503035,700,07-06-2021,10
33357189035001,417600,G11T1T6,500,01-11-2021,28
33357189035201,417600,G11T1T6,520,01-11-2021,40
33357189035401,417600,G11T1T6,540,01-11-2021,40
33357189035601,417600,G11T1T6,560,01-11-2021,44
33357189035701,417600,G11T1T6,570,01-11-2021,40
33357224375801,417600,F503035,580,07-06-2021,10
33357224376001,417600,F503035,600,07-06-2021,10
33357224376201,417600,F503035,620,07-06-2021,10
33357224376401,417600,F503035,640,07-06-2021,10
33357224376601,417600,F503035,660,07-06-2021,10
33357312065401,417600,F503035,540,01-06-2021,24
33357312065601,417600,F503035,560,01-06-2021,76
33357312065801,417600,F503035,580,01-06-2021,132
33357312066001,417600,F503035,600,01-06-2021,162
33357312066201,417600,F503035,620,01-06-2021,208
33357312066401,417600,F503035,640,01-06-2021,195
33357312066601,417600,F503035,660,01-06-2021,194
33357312066801,417600,F503035,680,01-06-2021,132
33357312067001,417600,F503035,700,01-06-2021,73
33357312067201,417600,F503035,720,01-06-2021,38
33357320256001,417600,F503035,600,01-06-2021,40
33357320256201,417600,F503035,620,01-06-2021,40
33357320256401,417600,F503035,640,01-06-2021,80
33357320256601,417600,F503035,660,01-06-2021,80
33357320256801,417600,F503035,680,01-06-2021,80
33357320257001,417600,F503035,700,01-06-2021,40
33357320257201,417600,F503035,720,01-06-2021,40
33357328595401,417600,F503035,540,07-06-2021,10
33357328595601,417600,F503035,560,07-06-2021,20
33357328595801,417600,F503035,580,07-06-2021,30
33357328596001,417600,F503035,600,07-06-2021,50
33357328596201,417600,F503035,620,07-06-2021,60
33357328596401,417600,F503035,640,07-06-2021,80
33357328596601,417600,F503035,660,07-06-2021,80
33357328596801,417600,F503035,680,07-06-2021,60
33357328597001,417600,F503035,700,07-06-2021,20
33357328597201,417600,F503035,720,07-06-2021,10
33357357906001,417600,F503035,600,16-07-2021,2
33357357906201,417600,F503035,620,16-07-2021,2
33357357906401,417600,F503035,640,16-07-2021,2
33357357906601,417600,F503035,660,16-07-2021,2
33357357906801,417600,F503035,680,16-07-2021,2
33357357907001,417600,F503035,700,16-07-2021,2
33357382056001,417600,F503035,600,15-07-2021,5
33357382056201,417600,F503035,620,15-07-2021,10
33357382056401,417600,F503035,640,15-07-2021,15
33357382056601,417600,F503035,660,15-07-2021,15
33357382056801,417600,F503035,680,15-07-2021,10
33357382057001,417600,F503035,700,15-07-2021,5
33357393455401,417600,F503035,540,15-07-2021,15
33357393455601,417600,F503035,560,15-07-2021,30
33357393455801,417600,F503035,580,15-07-2021,40
33357393456001,417600,F503035,600,15-07-2021,50
33357393456201,417600,F503035,620,15-07-2021,50
33357393456401,417600,F503035,640,15-07-2021,45
33357393456601,417600,F503035,660,15-07-2021,30
33357393456801,417600,F503035,680,15-07-2021,25
33357393457001,417600,F503035,700,15-07-2021,10
33357394805601,417600,F503035,560,15-07-2021,6
33357394805801,417600,F503035,580,15-07-2021,8
33357394806001,417600,F503035,600,15-07-2021,10
33357394806201,417600,F503035,620,15-07-2021,10
33357394806401,417600,F503035,640,15-07-2021,10
33357394806601,417600,F503035,660,15-07-2021,6
33357394806801,417600,F503035,680,15-07-2021,2
33357443375601,417600,F503035,560,14-06-2021,2
33357443375801,417600,F503035,580,14-06-2021,2
33357443376001,417600,F503035,600,14-06-2021,2
33357443376201,417600,F503035,620,14-06-2021,2
